profile_name,latency_ms_kalshi,latency_ms_poly,adverse_drift_bps,book_haircut_pct,partial_fill_prob,timeout_prob,slippage_extra_bps,trades_attempted,trades_accepted,fill_full_rate,partial_fill_rate,timeout_rate,hedge_failed_rate,avg_edge_predicted_pct,avg_edge_captured_pct,edge_capture_ratio,pnl_total,pnl_per_trade,max_drawdown_pct,breaker_trigger_count,skip_rate,robustness_score
baseline,200,200,2.0,10.0,0.05,0.01,1.0,600,198,0.33,0.288333,0.008333,0.003333,14.87625,5.842287,0.392726,350.537243,0.584229,1.034315,0,0.67,0.876378
latency_high_low_deg_01,1200,1200,2.0,10.0,0.05,0.01,2.0,600,182,0.303333,0.326667,0.008333,0.018333,16.088468,5.705654,0.354642,342.339249,0.570565,1.067215,0,0.696667,0.859383
latency_high_low_deg_03,3000,3000,2.0,10.0,0.05,0.05,3.0,600,179,0.298333,0.283333,0.068333,0.011667,15.713136,5.031867,0.320233,301.912046,0.503187,1.733891,0,0.701667,0.800497
latency_high_low_deg_02,2000,2000,2.0,10.0,0.05,0.05,2.0,600,162,0.27,0.295,0.073333,0.018333,15.380004,4.459455,0.289951,267.567289,0.445945,1.040256,0,0.73,0.772218
latency_high_low_deg_04,3000,3000,6.0,10.0,0.15,0.05,3.0,600,128,0.213333,0.351667,0.07,0.018333,14.845638,3.520492,0.23714,211.229535,0.352049,2.08434,0,0.786667,0.703847
stress_mix_13,1200,1200,6.0,25.0,0.05,0.05,3.0,600,116,0.193333,0.395,0.071667,0.008333,15.371411,2.846732,0.185197,170.803923,0.284673,1.770047,0,0.806667,0.664998
latency_high_low_deg_05,2000,2000,6.0,25.0,0.15,0.05,4.0,600,95,0.158333,0.41,0.056667,0.023333,15.331542,2.014735,0.131411,120.884098,0.201473,2.048558,0,0.841667,0.610676
stress_mix_01,200,200,6.0,25.0,0.15,0.05,2.0,600,92,0.153333,0.425,0.055,0.016667,15.239603,1.790716,0.117504,107.442935,0.179072,4.165428,0,0.846667,0.573618
stress_mix_02,200,200,12.0,25.0,0.15,0.05,3.0,600,83,0.138333,0.403333,0.08,0.023333,16.224935,1.616333,0.09962,96.979958,0.161633,2.65045,0,0.861667,0.572998
stress_mix_07,2000,2000,12.0,25.0,0.3,0.1,6.0,600,51,0.085,0.423333,0.13,0.03,16.410596,0.356764,0.02174,21.405813,0.035676,5.547317,0,0.915,0.450629
